Season,Crop,Seed Cost,Mature,Harvest
Spring,Coffee Bean,15,10,2
Spring,Strawberry,100,8,4
Spring,Rhubarb,100,0,13
Spring,Cauliflower,80,0,12
Spring,Potato,50,0,6
Spring,Kale,70,0,6
Spring,Green Bean,60,10,3
Spring,Garlic,40,0,4
Spring,Parsnip,20,0,4
Spring,Blue Jazz,30,0,7
Spring,Tulip,20,0,6
Spring,Unmilled Rice,40,0,6
Spring,Carrot,18,0,3
Spring,Cucumber,45,12,2
Summer,Pineapple,150,14,7
Summer,Blueberry,80,13,4
Summer,Red Cabbage,100,0,9
Summer,Coffee Bean,15,10,2
Summer,Melon,80,0,12
Summer,Hops,60,11,1
Summer,Hot Pepper,40,5,3
Summer,Radish,40,0,6
Summer,Taro Root,50,0,7
Summer,Tomato,50,11,4
Summer,Poppy,100,0,7
Summer,Corn,150,14,4
Summer,Summer Spangle,50,0,8
Summer,Wheat,10,0,4
Summer,Summer Squash,23,6,3
Summer,Butternut Squash,90,0,12
Fall,Pumpkin,100,0,13
Fall,Artichoke,30,0,8
Fall,Cranberry,240,7,5
Fall,Grape,60,10,3
Fall,Beet,20,0,6
Fall,Amaranth,70,0,7
Fall,Fairy Rose,200,0,12
Fall,Yam,60,0,10
Fall,Bok Choy,50,0,4
Fall,Eggplant,20,5,5
Fall,Wheat,10,0,4
Fall,Corn,150,14,4
Fall,Sunflower,125,0,8
Fall,Broccoli,35,8,4
Fall,Sweet Potato,134,0,12
Winter,Powdermelon,30,0,7
Winter,Winter Seeds,77,0,7
Other,Ancient Fruit,275,28,7
Other,Sweet Gem,1500,0,24
